pupil;class;extrav;sex;texp;popular
14;27;5;1;10;5,2
15;27;4;1;10;3,4
16;27;5;1;10;4,8
17;27;5;0;10;4,2
18;27;4;0;10;3,2
19;27;6;0;10;4,7
20;27;6;0;10;4,6
1;28;5;0;13;4,9
2;28;3;1;13;4,3
3;28;3;0;13;3,8
4;28;5;0;13;4,1
5;28;6;1;13;5,5
6;28;6;1;13;5
7;28;6;0;13;3,6
8;28;5;1;13;5,4
9;28;6;1;13;6
10;28;5;1;13;4,8
11;28;6;0;13;4,1
12;28;5;0;13;4,2
13;28;6;1;13;5,6
14;28;7;0;13;4,4
15;28;5;1;13;4,8
16;28;6;0;13;3,3
17;28;5;1;13;4,9
18;28;4;0;13;3,4
19;28;3;1;13;3,7
20;28;4;1;13;4,4
1;29;4;1;22;5,9
2;29;4;0;22;3,8
3;29;5;0;22;5,2
4;29;7;0;22;6,1
5;29;4;1;22;5,5
6;29;4;1;22;7,2
7;29;6;0;22;6,2
8;29;5;1;22;7,1
9;29;4;1;22;6
10;29;5;1;22;6
12;29;3;0;22;5,2
13;29;3;0;22;6,6
14;29;5;1;22;5,7
15;29;5;1;22;6,9
16;29;5;1;22;6,6
17;29;3;1;22;5,7
18;29;2;0;22;4,7
1;30;6;0;6;3,3
2;30;5;0;6;2,6
3;30;5;1;6;5,3
4;30;7;0;6;4
5;30;5;1;6;4,7
6;30;6;0;6;5,2
7;30;6;0;6;3,5
8;30;8;1;6;6,5
9;30;5;0;6;3,9
10;30;5;1;6;4,9
11;30;6;0;6;3,6
12;30;5;1;6;4,3
13;30;4;1;6;3,5
14;30;5;0;6;4
15;30;8;1;6;7,1
16;30;6;1;6;6,1
17;30;8;1;6;4,6
1;31;6;0;6;4,9
2;31;6;1;6;5,7
4;31;6;1;6;5,2
5;31;6;1;6;7,3
6;31;5;0;6;3,5
7;31;5;1;6;4
8;31;6;1;6;5,8
9;31;5;1;6;5,8
10;31;5;0;6;4,4
11;31;6;0;6;4,6
12;31;5;0;6;4,2
13;31;3;0;6;1,5
14;31;4;0;6;2,9
15;31;4;0;6;3,2
16;31;4;0;6;1,8
17;31;6;1;6;5,5
18;31;3;0;6;,4
19;31;6;0;6;5,4
20;31;5;1;6;5,1
1;32;5;1;12;6,2
2;32;6;0;12;5,9
3;32;6;1;12;4,9
4;32;6;1;12;6
5;32;6;0;12;4,9
6;32;4;0;12;3,9
7;32;4;0;12;4,5
8;32;5;1;12;4,6
9;32;3;0;12;2,4
10;32;4;1;12;4,7
11;32;6;1;12;5
12;32;6;0;12;5,8
13;32;5;1;12;6,1
14;32;4;0;12;4,6
15;32;5;1;12;5,2
16;32;5;0;12;4,8
17;32;5;0;12;4
18;32;5;0;12;3,1
19;32;6;0;12;4,8
20;32;6;1;12;7,3
21;32;4;0;12;3,3
22;32;5;1;12;4,2
23;32;6;1;12;6,9
1;33;7;1;3;7,2
2;33;7;1;3;8,7
3;33;7;1;3;5,4
4;33;8;1;3;9,2
5;33;6;1;3;7
6;33;7;1;3;6,4
7;33;8;1;3;9,5
8;33;7;1;3;8,1
9;33;8;1;3;6
10;33;8;1;3;7
11;33;9;1;3;8,1
12;33;6;1;3;7,4
13;33;7;1;3;8,4
14;33;6;1;3;4,7
15;33;7;1;3;7,4
16;33;7;1;3;5,7
17;33;7;1;3;8
18;33;9;1;3;8,8
19;33;6;1;3;6,2
1;34;6;0;8;5,8
2;34;5;0;8;3,8
3;34;8;1;8;8,5
4;34;7;0;8;4,6
5;34;6;0;8;3,9
6;34;5;0;8;3,9
7;34;6;0;8;4,7
8;34;7;0;8;5,6
9;34;4;1;8;3,3
10;34;6;0;8;5,7
11;34;6;0;8;4,1
12;34;4;1;8;4,3
13;34;5;0;8;5,4
14;34;5;0;8;4,8
15;34;3;1;8;3,2
16;34;6;0;8;4,2
17;34;5;0;8;3,9
18;34;7;1;8;6,1
19;34;6;0;8;4,5
20;34;5;0;8;3,8
21;34;6;1;8;6,8
22;34;5;1;8;5
1;35;4;1;25;6
2;35;5;1;25;7,5
3;35;6;1;25;7,9
4;35;4;1;25;7,8
5;35;4;1;25;7,9
6;35;5;1;25;7
7;35;6;1;25;5,5
8;35;4;1;25;7
9;35;4;1;25;6,2
10;35;7;1;25;7
11;35;4;1;25;6,6
12;35;6;1;25;6,8
13;35;3;1;25;6,8
14;35;6;1;25;6,8
15;35;4;1;25;7,4
16;35;5;1;25;7,5
17;35;6;1;25;7,1
18;35;4;1;25;6,7
19;35;5;1;25;7,3
20;35;3;1;25;6,7
1;36;6;1;15;6,3
2;36;4;0;15;3,9
3;36;5;0;15;4
4;36;4;0;15;3,2
5;36;6;0;15;4,2
6;36;3;1;15;5
7;36;3;1;15;5,3
8;36;4;1;15;5,3
9;36;6;0;15;5,7
10;36;4;1;15;5,2
11;36;3;0;15;5
12;36;5;0;15;3,9
13;36;3;1;15;5,4
14;36;4;1;15;7,4
15;36;7;0;15;4,3
16;36;6;1;15;6,7
17;36;5;0;15;4,4
18;36;4;0;15;5,3
19;36;4;0;15;5,3
1;37;5;0;20;4,6
2;37;5;1;20;6,9
3;37;6;1;20;6,4
4;37;6;1;20;6,7
5;37;5;0;20;4,1
6;37;6;0;20;4,6
7;37;7;0;20;5,3
8;37;5;1;20;7,1
9;37;6;0;20;6
10;37;6;0;20;4
11;37;4;1;20;4,9
12;37;4;0;20;4,1
13;37;4;0;20;4,4
14;37;5;0;20;4,8
15;37;5;0;20;4,5
16;37;4;0;20;3,6
17;37;6;0;20;5,7
18;37;7;1;20;6,8
19;37;6;1;20;7,3
1;38;5;0;18;3,5
2;38;5;0;18;3,5
3;38;5;0;18;4,9
4;38;5;1;18;4,8
5;38;5;1;18;5,8
6;38;5;1;18;5,9
7;38;4;1;18;5
8;38;6;0;18;4,3
9;38;4;1;18;4,6
10;38;4;0;18;3,6
11;38;4;0;18;3
12;38;6;0;18;4,5
13;38;4;0;18;3,9
14;38;5;0;18;4,2
15;38;5;1;18;6
16;38;6;1;18;6,5
17;38;5;0;18;3,4
1;39;4;1;19;5,4
2;39;4;1;19;5,6
3;39;4;0;19;3,6
4;39;6;0;19;4,7
5;39;4;1;19;5,7
6;39;4;1;19;4,8
7;39;7;1;19;6,4
8;39;5;1;19;4,9
9;39;5;1;19;5,3
10;39;5;1;19;5,5
11;39;6;0;19;3,9
12;39;5;0;19;5,1
13;39;4;0;19;4,8
14;39;3;1;19;4,6
15;39;4;0;19;5,2
16;39;6;1;19;6
1;40;8;1;2;6,4
2;40;8;1;2;5,1
3;40;9;1;2;7,7
4;40;9;1;2;7,4
5;40;8;1;2;6,8
6;40;10;1;2;6,8
7;40;9;1;2;8,2
8;40;10;1;2;7,6
9;40;9;1;2;7,5
10;40;8;1;2;6,5
11;40;7;1;2;4,3
12;40;10;1;2;7,7
13;40;8;1;2;7,5
14;40;9;1;2;6,5
15;40;10;1;2;8,6
16;40;9;1;2;5,4
17;40;8;1;2;4,5
18;40;6;1;2;3,8
19;40;8;1;2;6,9
20;40;8;1;2;6,6
1;41;6;1;18;5
2;41;3;0;18;3,4
3;41;5;0;18;2,5
4;41;5;1;18;5
5;41;6;0;18;3,8
6;41;5;0;18;3,4
7;41;5;0;18;3
8;41;5;1;18;4,4
9;41;5;1;18;3,6
10;41;4;1;18;4,2
11;41;6;1;18;5,3
12;41;5;0;18;2,9
13;41;5;0;18;2,8
14;41;6;0;18;3,7
15;41;5;1;18;4,2
16;41;4;1;18;3,2
17;41;3;1;18;3,6
18;41;5;1;18;4,1
19;41;4;0;18;3,2
1;42;3;1;12;5,3
2;42;7;0;12;6,6
3;42;5;0;12;4,1
4;42;5;1;12;5,5
5;42;5;0;12;4,8
6;42;4;1;12;4,5
7;42;3;0;12;3,9
8;42;5;1;12;5,9
9;42;5;1;12;5
10;42;7;1;12;7,1
11;42;7;0;12;5,2
12;42;5;1;12;7
13;42;6;1;12;7,3
14;42;3;1;12;4,1
15;42;6;0;12;5,5
16;42;6;0;12;4,9
17;42;6;1;12;7,2
18;42;5;0;12;4,1
19;42;5;1;12;4,4
20;42;4;1;12;5,3
21;42;4;1;12;3,6
1;43;7;0;12;6,7
2;43;5;1;12;4,2
3;43;5;0;12;5,6
4;43;4;1;12;4,7
5;43;6;1;12;5,6
6;43;4;1;12;6,2
7;43;6;0;12;4,7
8;43;5;0;12;5,4
9;43;5;1;12;6,7
10;43;5;0;12;4,8
11;43;5;0;12;5,5
12;43;4;0;12;5,6
13;43;6;0;12;4,3
14;43;5;0;12;5,2
15;43;7;0;12;5,9
16;43;4;0;12;4,5
17;43;6;0;12;5,7
1;44;5;0;14;4,2
2;44;6;1;14;6,7
3;44;6;1;14;6
4;44;6;1;14;6
5;44;5;0;14;4
6;44;5;0;14;5,1
7;44;4;1;14;4,9
8;44;5;0;14;3,9
9;44;6;0;14;4,5
10;44;4;0;14;3,3
11;44;6;0;14;4,3
12;44;8;1;14;6,4
13;44;5;1;14;5,2
14;44;7;1;14;6,2
15;44;7;1;14;5,7
16;44;5;0;14;3,6
17;44;6;0;14;5,1
18;44;5;1;14;5,1
19;44;5;0;14;3,7
1;45;6;0;20;4,3
2;45;6;1;20;7,9
3;45;5;1;20;4,8
4;45;7;1;20;7,7
5;45;6;0;20;6,3
6;45;4;0;20;4,9
7;45;5;0;20;5,2
8;45;3;1;20;7,9
9;45;6;0;20;6,2
10;45;6;1;20;6
11;45;5;0;20;4,8
12;45;5;0;20;6,2
13;45;4;0;20;5,6
14;45;6;0;20;5,1
15;45;4;0;20;4,5
16;45;5;0;20;5,5
17;45;6;1;20;7,1
18;45;5;0;20;4,8
19;45;5;0;20;4,9
1;46;4;1;18;5,5
2;46;4;1;18;5,5
3;46;6;1;18;6,1
4;46;4;0;18;4
5;46;4;0;18;3,5
6;46;4;0;18;3,4
7;46;6;1;18;6,2
8;46;4;1;18;5,1
9;46;4;0;18;3,5
10;46;6;1;18;6,3
11;46;5;1;18;6,1
12;46;6;1;18;5,7
13;46;6;1;18;3,9
14;46;5;1;18;5,6
15;46;4;0;18;3,6
16;46;5;0;18;5,2
17;46;8;1;18;8,4
18;46;3;0;18;3,1
19;46;2;1;18;5,1
20;46;6;1;18;6,5
21;46;3;1;18;4,5
22;46;4;1;18;5,3
23;46;4;0;18;3,7
1;47;4;1;13;5,3
2;47;8;0;13;5,5
3;47;5;1;13;5,8
4;47;5;0;13;3,7
5;47;6;0;13;5,4
6;47;4;1;13;4,9
7;47;5;0;13;4,1
8;47;6;1;13;5,5
9;47;6;1;13;6,1
10;47;4;1;13;3,9
11;47;5;0;13;5,2
12;47;5;1;13;4,4
13;47;5;0;13;4,3
14;47;5;0;13;3
15;47;4;1;13;5,9
16;47;4;1;13;4,4
17;47;7;0;13;5,5
1;48;6;1;6;5,8
2;48;4;0;6;1,8
3;48;7;0;6;5,5
4;48;5;0;6;2,1
5;48;6;0;6;3,6
6;48;6;0;6;1,9
7;48;4;1;6;4,4
8;48;8;1;6;5,1
9;48;4;0;6;2,5
10;48;5;1;6;2,6
11;48;5;0;6;3,6
12;48;5;0;6;3,4
13;48;6;1;6;6,1
14;48;8;1;6;7,4
15;48;7;0;6;5,2
16;48;6;1;6;4,5
17;48;6;1;6;5,3
18;48;5;0;6;4
19;48;5;0;6;4,2
1;49;4;1;7;5,4
2;49;6;1;7;5,7
3;49;4;0;7;3,2
4;49;7;1;7;6,3
5;49;5;1;7;4,2
6;49;5;0;7;4,4
7;49;5;1;7;5
8;49;6;0;7;4,3
9;49;5;0;7;4,2
10;49;5;1;7;4,7
11;49;5;1;7;4,1
12;49;6;1;7;5,4
13;49;6;1;7;5,2
14;49;5;0;7;4,8
15;49;6;1;7;4,9
16;49;5;0;7;4,5
17;49;6;0;7;3,5
18;49;8;1;7;6,9
19;49;4;0;7;5,3
20;49;5;0;7;3,4
1;50;4;0;25;5,2
2;50;6;1;25;6,7
3;50;5;1;25;6,8
4;50;5;0;25;5,6
5;50;6;0;25;5,6
6;50;2;1;25;6,5
7;50;5;0;25;5,1
8;50;5;0;25;7
9;50;7;0;25;6,4
10;50;5;0;25;6,4
11;50;6;1;25;7,4
12;50;5;0;25;5,8
13;50;4;1;25;6,7
14;50;5;0;25;5,3
15;50;5;0;25;5,4
16;50;5;1;25;7,2
17;50;5;0;25;5
18;50;6;1;25;6,3
19;50;5;1;25;7,6
20;50;4;1;25;5,9
1;51;5;0;16;4,2
2;51;4;1;16;4,9
3;51;5;0;16;3,1
4;51;6;1;16;5,1
5;51;5;1;16;5
6;51;4;1;16;5,5
7;51;5;1;16;3,7
8;51;5;0;16;3,2
9;51;5;1;16;5
10;51;5;1;16;4,8
11;51;5;0;16;2,4
12;51;6;0;16;4,1
13;51;3;0;16;2,4
